id,dim1,dim2,dim3,cid
745,20,19,15,1
746,20,19,15,1
747,19,18,14,1
748,18,17,13,1
749,18,17,13,1
750,17,16,12,1
751,17,16,12,1
752,17,16,12,1
753,17,16,12,1
754,17,16,12,1
755,17,16,12,1
756,17,16,12,1
757,17,16,12,1
758,17,16,12,1
759,16,15,11,1
760,15,14,10,1
761,15,14,10,1
762,15,14,10,1
763,15,14,10,1
764,15,14,10,1
765,15,14,10,1
766,15,14,10,1
767,15,14,10,1
768,14,13,9,1
769,25,27,24,1
770,25,27,24,1
771,25,27,24,1
772,24,26,23,1
773,24,26,23,1
774,24,26,23,1
775,22,24,21,1
776,21,23,20,1
777,21,23,20,1
778,20,22,19,1
779,20,22,19,1
780,19,21,18,1
781,24,26,23,1
782,22,24,21,1
783,18,20,17,1
784,19,21,18,1
785,27,29,26,1
786,28,29,27,1
787,24,24,22,1
788,24,24,22,1
789,24,24,22,1
790,23,23,21,1
791,23,23,21,1
792,21,21,19,1
793,21,21,19,1
794,23,23,21,1
795,23,23,21,1
796,22,22,20,1
797,20,20,18,1
798,22,22,20,1
799,22,22,20,1
800,22,22,20,1
801,22,22,20,1
802,22,22,20,1
803,22,22,20,1
804,20,20,18,1
805,20,20,18,1
806,21,21,19,1
807,22,22,20,1
808,23,23,21,1
809,22,23,21,1
810,22,24,21,1
811,22,24,21,1
812,22,24,21,1
813,22,24,21,1
814,22,24,21,1
815,21,23,20,1
816,21,23,20,1
817,21,23,20,1
818,22,24,21,1
819,23,25,22,1
820,23,25,22,1
821,24,24,18,1
822,26,26,19,1
823,25,23,17,1
824,33,30,24,1
825,33,28,22,1
826,37,32,27,1
844,42,35,28,1
845,30,22,15,1
846,36,27,22,1
847,34,24,22,1
848,43,33,32,1
849,39,30,29,1
850,29,24,20,1
851,28,23,19,1
852,25,21,18,1
853,24,22,19,1
854,25,24,22,1
855,27,26,24,1
856,26,25,23,1
857,23,22,20,1
858,20,19,17,1
859,20,19,17,1
860,21,20,18,1
861,22,21,19,1
862,21,20,18,1
863,21,20,18,1
864,21,20,18,1
865,19,18,16,1
866,19,18,16,1
867,20,19,15,1
868,19,18,14,1
869,18,17,13,1
870,17,16,12,1
871,18,17,13,1
872,20,19,15,1
873,20,19,15,1
874,20,19,15,1
875,19,18,14,1
876,18,17,13,1
877,18,17,13,1
878,17,16,12,1
879,17,16,12,1
880,17,16,12,1
881,17,16,12,1
882,17,16,12,1
883,17,16,12,1
884,17,16,12,1
885,17,16,12,1
886,17,16,12,1
887,16,15,11,1
888,15,14,10,1
889,14,13,9,1
890,14,13,9,1
891,14,13,9,1
892,15,14,10,1
893,15,14,10,1
894,16,15,11,1
895,16,15,11,1
896,15,14,10,1
897,24,26,23,1
898,25,27,24,1
899,26,28,25,1
900,26,28,25,1
901,24,26,23,1
902,22,24,21,1
903,22,24,21,1
904,22,24,21,1
905,22,24,21,1
906,21,23,20,1
907,21,23,20,1
908,21,23,20,1
909,19,21,18,1
910,24,26,23,1
911,24,26,23,1
912,22,24,21,1
913,22,24,21,1
914,23,25,22,1
915,24,24,22,1
916,24,24,22,1
917,23,23,21,1
918,23,23,21,1
919,23,23,21,1
920,21,21,19,1
921,21,21,19,1
922,23,23,21,1
923,23,23,21,1
924,22,22,20,1
925,20,20,18,1
926,22,22,20,1
927,22,22,20,1
928,22,22,20,1
929,22,22,20,1
930,22,22,20,1
931,22,22,20,1
932,21,21,19,1
933,21,21,19,1
934,22,22,20,1
935,24,24,22,1
936,24,24,22,1
937,23,24,22,1
938,22,24,21,1
939,22,24,21,1
940,22,24,21,1
941,22,24,21,1
942,22,24,21,1
943,20,22,19,1
944,20,22,19,1
945,22,24,21,1
946,24,26,23,1
947,23,25,22,1
948,22,24,21,1
949,22,22,15,1
950,27,24,17,1
951,28,25,17,1
952,37,32,26,1
953,33,28,22,1
954,33,26,20,1
972,46,38,32,1
973,36,26,20,1
974,26,17,12,1
975,27,17,15,1
976,32,22,21,1
977,42,32,31,1
978,30,22,19,1
979,28,23,19,1
980,26,21,18,1
981,25,21,19,1
982,28,24,23,1
983,27,26,24,1
984,28,27,25,1
985,25,24,22,1
986,22,21,19,1
987,21,20,18,1
988,22,21,19,1
989,23,22,20,1
990,21,20,18,1
991,21,20,18,1
992,21,20,18,1
993,19,18,16,1
994,19,18,16,1
995,19,18,15,1
996,19,18,14,1
997,18,17,13,1
998,18,17,13,1
999,18,17,13,1
1000,19,18,14,1
1001,20,19,15,1
1002,20,19,15,1
1003,19,18,14,1
1004,18,17,13,1
1005,18,17,13,1
1006,17,16,12,1
1007,17,16,12,1
1008,17,16,12,1
1009,17,16,12,1
1010,17,16,12,1
1011,17,16,12,1
1012,17,16,12,1
1013,16,15,11,1
1014,15,14,10,1
1015,15,14,10,1
1016,14,13,9,1
1017,14,13,9,1
1018,13,12,8,1
1019,14,13,9,1
1020,15,14,10,1
1021,16,15,11,1
1022,16,15,11,1
1023,17,16,12,1
1024,16,15,11,1
1025,23,25,22,1
1026,25,27,24,1
1027,27,29,26,1
1028,26,28,25,1
1029,23,25,22,1
1030,21,23,20,1
1031,23,25,22,1
1032,23,25,22,1
1033,23,25,22,1
1034,23,25,22,1
1035,23,25,22,1
1036,23,25,22,1
1037,24,26,23,1
1038,24,26,23,1
1039,21,23,20,1
1040,18,20,17,1
1041,21,23,20,1
1042,23,25,22,1
1043,24,24,22,1
1044,23,23,21,1
1045,23,23,21,1
1046,23,23,21,1
1047,22,22,20,1
1048,21,21,19,1
1049,21,21,19,1
1050,23,23,21,1
1051,23,23,21,1
1052,22,22,20,1
1053,20,20,18,1
1054,22,22,20,1
1055,22,22,20,1
1056,22,22,20,1
1057,22,22,20,1
1058,22,22,20,1
1059,22,22,20,1
1060,21,21,19,1
1061,22,22,20,1
1062,23,23,21,1
1063,24,24,22,1
1064,25,25,23,1
1065,25,25,23,1
1066,22,24,21,1
1067,22,24,21,1
1068,22,24,21,1
1069,22,24,21,1
1070,22,24,21,1
1071,20,22,19,1
1072,20,22,19,1
1073,23,25,22,1
1074,24,26,23,1
1075,24,26,23,1
1076,21,23,20,1
1077,28,26,17,1
1078,27,24,15,1
1079,25,21,12,1
1080,37,33,24,1
1081,40,35,26,1
1082,45,38,30,1
1102,41,30,26,1
1103,37,26,24,1
1104,30,18,18,1
1105,50,38,38,1
1106,30,22,19,1
1107,28,21,18,1
1108,26,21,18,1
1109,27,22,20,1
1110,28,24,23,1
1111,30,26,25,1
1112,29,28,26,1
1113,26,25,23,1
1114,23,22,20,1
1115,22,21,19,1
1116,22,21,19,1
1117,23,22,20,1
1118,21,20,18,1
1119,21,20,18,1
1120,21,20,18,1
1121,19,18,16,1
1122,19,18,16,1
1123,19,18,15,1
1124,19,18,14,1
1125,18,17,13,1
1126,18,17,13,1
1127,18,17,13,1
1128,19,18,14,1
1129,20,19,15,1
1130,20,19,15,1
1131,19,18,14,1
1132,18,17,13,1
1133,18,17,13,1
1134,17,16,12,1
1135,17,16,12,1
1136,17,16,12,1
1137,17,16,12,1
1138,17,16,12,1
1139,17,16,12,1
1140,17,16,12,1
1141,16,15,11,1
1142,15,14,10,1
1143,14,13,9,1
1144,14,13,9,1
1145,13,12,8,1
1146,13,12,8,1
1147,14,13,9,1
1148,14,13,9,1
1149,16,15,11,1
1150,17,16,12,1
1151,18,17,13,1
1152,16,15,11,1
1153,22,22,20,1
1154,20,20,18,1
1155,20,20,18,1
1156,23,23,21,1
1157,25,26,23,1
1158,25,25,23,1
1159,22,24,21,1
1160,23,25,22,1
1161,23,25,22,1
1162,22,24,21,1
1163,21,23,20,1
1164,21,23,20,1
1165,29,30,24,1
1166,25,26,21,1
1167,20,21,15,1
1168,19,20,14,1
1169,20,21,15,1
1170,23,24,20,1
1171,25,27,24,1
1172,24,26,23,1
1173,24,26,23,1
1174,26,28,25,1
1175,29,30,28,1
1176,24,26,23,1
1177,23,25,22,1
1178,24,26,23,1
1179,25,27,24,1
1180,22,24,21,1
1181,20,22,19,1
1182,21,22,19,1
1183,21,23,20,1
1184,23,24,21,1
1185,23,24,21,1
1186,21,23,20,1
1187,21,22,19,1
1188,24,26,23,1
1189,22,24,21,1
1190,21,22,20,1
1191,22,23,21,1
1192,24,26,23,1
1193,25,27,24,1
1194,24,26,23,1
1195,24,26,23,1
1196,23,25,22,1
1197,23,25,22,1
1198,23,25,22,1
1199,23,25,22,1
1200,23,25,22,1
1201,24,26,23,1
1202,24,26,23,1
1203,24,26,23,1
1204,24,26,23,1
1205,23,25,18,1
1206,27,28,21,1
1207,28,27,17,1
1208,27,24,12,1
1209,43,38,24,1
1210,50,45,28,1
1230,51,42,39,1
1231,33,23,21,1
1232,26,15,14,1
1233,43,32,30,1
1234,29,19,11,1
1235,42,33,25,1
1236,23,18,9,1
1237,24,22,11,1
1238,24,26,15,1
1239,21,25,13,1
1240,28,30,21,1
1241,22,24,16,1
1242,19,21,14,1
1243,22,24,18,1
1244,23,25,20,1
1245,22,23,19,1
1246,20,21,16,1
1247,20,21,16,1
1248,19,20,16,1
1249,19,19,17,1
1250,19,19,17,1
1251,19,18,16,1
1252,20,19,17,1
1253,21,20,17,1
1254,22,21,18,1
1255,20,19,17,1
1256,19,18,16,1
1257,20,19,16,1
1258,20,19,17,1
1259,20,19,17,1
1260,20,19,17,1
1261,20,19,16,1
1262,20,19,16,1
1263,18,17,13,1
1264,17,16,12,1
1265,17,16,12,1
1266,16,15,11,1
1267,16,15,11,1
1268,15,14,10,1
1269,14,13,9,1
1270,15,14,10,1
1271,15,14,10,1
1272,16,15,11,1
1273,17,16,12,1
1274,15,15,10,1
1275,14,15,9,1
1276,15,16,10,1
1277,16,16,11,1
1278,16,17,11,1
1279,17,18,12,1
1280,15,16,10,1
1281,22,22,20,1
1282,25,25,23,1
1283,24,24,22,1
1284,17,17,15,1
1285,18,18,16,1
1286,24,24,22,1
1287,24,26,23,1
1288,25,27,24,1
1289,25,27,24,1
1290,25,27,24,1
1291,23,25,22,1
1292,22,24,21,1
1293,29,30,24,1
1294,25,26,20,1
1295,22,23,17,1
1296,21,22,17,1
1297,23,24,18,1
1298,25,26,22,1
1299,25,27,24,1
1300,24,26,23,1
1301,24,26,23,1
1302,24,26,23,1
1303,27,29,26,1
1304,20,22,19,1
1305,19,21,18,1
1306,20,22,19,1
1307,21,23,20,1
1308,22,24,21,1
1309,22,24,21,1
1310,20,22,19,1
1311,21,23,20,1
1312,23,25,22,1
1313,23,25,22,1
1314,21,23,20,1
1315,20,22,19,1
1316,25,27,24,1
1317,23,25,22,1
1318,21,23,20,1
1319,22,24,21,1
1320,24,26,23,1
1321,24,26,23,1
1322,23,25,22,1
1323,23,25,22,1
1324,23,25,22,1
1325,22,24,21,1
1326,22,24,21,1
1327,23,25,22,1
1328,24,26,23,1
1329,24,26,23,1
1330,24,26,23,1
1331,24,26,23,1
1332,24,26,23,1
1333,18,20,15,1
1334,30,32,25,1
1335,20,20,11,1
1336,34,32,19,1
1337,42,38,22,1
1338,52,47,28,1
1359,49,39,37,1
1360,37,27,24,1
1361,30,19,16,1
1362,39,29,21,1
1363,48,40,31,1
1364,34,30,19,1
1365,34,32,20,1
1366,31,32,20,1
1367,31,35,21,1
1368,26,29,18,1
1369,21,24,14,1
1370,20,23,14,1
1371,23,25,19,1
1372,23,25,20,1
1373,21,23,18,1
1374,20,21,15,1
1375,20,21,16,1
1376,20,21,16,1
1377,19,19,17,1
1378,19,19,17,1
1379,19,18,16,1
1380,20,19,17,1
1381,21,20,18,1
1382,22,21,19,1
1383,21,20,18,1
1384,19,18,16,1
1385,20,19,17,1
1386,20,19,17,1
1387,20,19,17,1
1388,20,19,17,1
1389,20,19,17,1
1390,20,19,17,1
1391,18,17,13,1
1392,17,16,12,1
1393,17,16,12,1
1394,16,15,11,1
1395,15,14,10,1
1396,15,14,10,1
1397,16,15,11,1
1398,15,14,10,1
1399,15,14,10,1
1400,16,15,11,1
1401,16,15,11,1
1402,15,15,10,1
1403,14,15,9,1
1404,15,16,10,1
1405,16,17,11,1
1406,16,17,11,1
1407,17,18,12,1
1408,15,16,10,1
1409,17,17,15,1
1410,23,23,21,1
1411,24,24,22,1
1412,18,18,16,1
1413,19,19,17,1
1414,29,29,27,1
1415,24,26,23,1
1416,25,27,24,1
1417,26,28,25,1
1418,26,28,25,1
1419,24,26,23,1
1420,23,25,22,1
1421,25,27,23,1
1422,22,24,21,1
1423,21,23,19,1
1424,21,23,20,1
1425,24,26,23,1
1426,25,27,24,1
1427,25,27,23,1
1428,24,26,22,1
1429,23,25,20,1
1430,22,24,20,1
1431,22,24,20,1
1432,20,22,18,1
1433,19,21,16,1
1434,18,20,16,1
1435,19,21,17,1
1436,22,24,20,1
1437,24,26,22,1
1438,20,22,19,1
1439,21,23,20,1
1440,23,25,22,1
1441,23,25,22,1
1442,21,23,20,1
1443,20,22,19,1
1444,23,25,22,1
1445,23,25,22,1
1446,22,24,21,1
1447,22,24,21,1
1448,23,25,22,1
1449,23,25,22,1
1450,22,24,21,1
1451,22,24,21,1
1452,21,23,20,1
1453,21,23,20,1
1454,21,23,20,1
1455,22,24,21,1
1456,24,26,23,1
1457,24,26,23,1
1458,24,26,23,1
1459,24,26,23,1
1460,24,26,23,1
1461,21,23,18,1
1462,29,31,25,1
1463,17,18,9,1
1464,40,38,25,1
1465,48,43,28,1
1466,53,47,31,1
1488,41,32,27,1
1489,29,20,15,1
1490,33,24,17,1
1491,40,32,25,1
1492,42,36,28,1
1493,40,37,28,1
