id,dim1,dim2,dim3,cid
609,19,18,16,0
610,19,18,16,0
611,20,19,16,0
612,20,19,15,0
613,17,16,12,0
614,16,15,11,0
615,18,17,13,0
616,21,20,16,0
617,20,19,15,0
618,20,19,15,0
619,19,18,14,0
620,18,17,13,0
621,18,17,13,0
622,17,16,12,0
623,17,16,12,0
624,17,16,12,0
625,17,16,12,0
626,17,16,12,0
627,17,16,12,0
628,17,16,12,0
629,18,17,13,0
630,17,16,12,0
631,17,16,12,0
632,16,15,11,0
633,15,14,10,0
634,15,14,10,0
635,15,14,10,0
636,15,14,10,0
637,14,13,9,0
638,14,13,9,0
639,14,13,9,0
640,13,12,8,0
641,26,28,25,0
642,25,27,24,0
643,24,26,23,0
644,24,26,23,0
645,24,26,23,0
646,25,27,24,0
647,23,25,22,0
648,23,25,22,0
649,22,24,21,0
650,20,22,19,0
651,20,22,19,0
652,19,21,18,0
653,22,24,21,0
654,25,27,24,0
655,24,26,23,0
656,22,24,21,0
657,25,27,24,0
658,26,27,24,0
659,24,24,22,0
660,24,24,22,0
661,24,24,22,0
662,23,23,21,0
663,23,23,21,0
664,21,21,19,0
665,21,21,19,0
666,23,23,21,0
667,23,23,21,0
668,22,22,20,0
669,20,20,18,0
670,22,22,20,0
671,22,22,20,0
672,22,22,20,0
673,22,22,20,0
674,22,22,20,0
675,22,22,20,0
676,20,20,18,0
677,20,20,18,0
678,21,21,19,0
679,21,21,19,0
680,22,22,20,0
681,22,22,20,0
682,22,24,21,0
683,22,24,21,0
684,22,24,21,0
685,22,24,21,0
686,22,24,21,0
687,22,24,21,0
688,21,23,20,0
689,21,23,20,0
690,21,23,20,0
691,23,25,22,0
692,24,26,23,0
693,27,28,23,0
694,27,28,23,0
695,22,21,16,0
696,27,25,21,0
697,33,30,26,0
698,45,41,37,0
699,41,34,26,0
700,61,54,46,0
701,91,84,76,0
702,125,118,110,2
703,113,106,98,2
704,105,98,91,2
705,113,109,106,2
706,98,94,91,2
707,116,112,109,2
708,97,94,90,2
709,104,100,97,2
710,95,90,85,2
711,86,80,74,0
712,74,68,62,0
713,58,52,46,0
714,63,56,50,0
715,30,24,18,0
716,35,28,21,0
717,30,23,15,0
718,39,32,26,0
719,34,26,23,0
720,43,35,33,0
721,37,29,27,0
722,29,25,21,0
723,28,24,20,0
724,24,22,18,0
725,23,22,19,0
726,24,24,22,0
727,25,25,23,0
728,25,24,22,0
729,22,21,19,0
730,20,19,17,0
731,20,19,17,0
732,21,20,18,0
733,22,21,19,0
734,21,20,18,0
735,21,20,18,0
736,21,20,18,0
737,19,18,16,0
738,19,18,16,0
739,20,19,16,0
740,19,18,14,0
741,17,16,12,0
742,17,16,12,0
743,18,17,13,0
744,20,19,15,0
745,20,19,15,0
746,20,19,15,0
747,19,18,14,0
748,18,17,13,0
749,18,17,13,0
750,17,16,12,0
751,17,16,12,0
752,17,16,12,0
753,17,16,12,0
754,17,16,12,0
755,17,16,12,0
756,17,16,12,0
757,17,16,12,0
758,17,16,12,0
759,16,15,11,0
760,15,14,10,0
761,15,14,10,0
762,15,14,10,0
763,15,14,10,0
764,15,14,10,0
765,15,14,10,0
766,15,14,10,0
767,15,14,10,0
768,14,13,9,0
769,25,27,24,0
770,25,27,24,0
771,25,27,24,0
772,24,26,23,0
773,24,26,23,0
774,24,26,23,0
775,22,24,21,0
776,21,23,20,0
777,21,23,20,0
778,20,22,19,0
